Year,County,Hospital,OSHPDID,Measure,Risk Adjusted Rate,# of Deaths/Readmissions,# of Cases,Hospital Ratings,Location 1
2011-2012,,Statewide,,30-day Mortality,10.55,7406,70213,,
2011-2012,,Statewide,,30-day Readmission,12.8,8527,66612,,
2011-2012,Alameda,Alameda Hospital,106010735,30-day Readmission,18.66,18,92,As Expected,"(37.762953, -122.25362)"
2011-2012,Alameda,Alameda Hospital,106010735,30-day Mortality,12.22,12,95,As Expected,"(37.762953, -122.25362)"
2011-2012,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,30-day Readmission,11.91,34,281,As Expected,"(37.85633, -122.25784)"
2011-2012,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,30-day Mortality,9.82,24,287,As Expected,"(37.85633, -122.25784)"
2011-2012,Alameda,Eden Medical Center,106010805,30-day Mortality,12.36,53,399,As Expected,"(37.69871, -122.08753)"
2011-2012,Alameda,Eden Medical Center,106010805,30-day Readmission,13.4,51,376,As Expected,"(37.69871, -122.08753)"
2011-2012,Alameda,Alameda County Medical Center,106010846,30-day Mortality,14.63,9,205,As Expected,"(37.79917, -122.2312)"
2011-2012,Alameda,Alameda County Medical Center,106010846,30-day Readmission,11.04,20,199,As Expected,"(37.79917, -122.2312)"
2011-2012,Alameda,Kaiser Foundation Hospital – Oakland Campus,106010856,30-day Readmission,12.12,75,542,As Expected,"(37.82425, -122.25792)"
2011-2012,Alameda,Kaiser Foundation Hospital – Oakland Campus,106010856,30-day Mortality,7.45,44,563,Better,"(37.82425, -122.25792)"
2011-2012,Alameda,Kaiser Foundation Hospital – Hayward,106010858,30-day Readmission,12.27,49,369,As Expected,"(37.62593, -122.09338)"
2011-2012,Alameda,Kaiser Foundation Hospital – Hayward,106010858,30-day Mortality,10.72,49,384,As Expected,"(37.62593, -122.09338)"
2011-2012,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,30-day Mortality,9.25,44,462,As Expected,"(37.82106, -122.26257)"
2011-2012,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,30-day Readmission,10.17,54,441,As Expected,"(37.82106, -122.26257)"
2011-2012,Alameda,Saint Rose Hospital,106010967,30-day Readmission,17.48,18,102,As Expected,"(37.63291, -122.08962)"
2011-2012,Alameda,Saint Rose Hospital,106010967,30-day Mortality,11.73,12,108,As Expected,"(37.63291, -122.08962)"
2011-2012,Alameda,Washington Hospital – Fremont,106010987,30-day Readmission,14.18,51,342,As Expected,"(37.55847, -121.98006)"
2011-2012,Alameda,Washington Hospital – Fremont,106010987,30-day Mortality,9.41,42,357,As Expected,"(37.55847, -121.98006)"
2011-2012,Alameda,San Leandro Hospital,106013619,30-day Readmission,8.92,8,71,As Expected,"(37.71364, -122.14067)"
2011-2012,Alameda,San Leandro Hospital,106013619,30-day Mortality,10.22,8,76,As Expected,"(37.71364, -122.14067)"
2011-2012,Alameda,Valleycare Medical Center,106014050,30-day Readmission,18.09,19,115,As Expected,"(37.69206, -121.88095)"
